doc_id,source,dataset,cohort,published_at,title,url,cjk_chars,ershi_count,ershi_per_10000_cjk,known_translation,title_ershi_count,admission_status
73e9f6e61e27e1e32264551f,infoq,pilot,pre,2021-07-02,不止Docker：8款容器管理开源方案,https://www.infoq.cn/article/YE7LJiEI4rOPGRaCJE08,3407,1,2.9351335485764602,False,0,diagnostic_pilot_not_clean_corpus
0dfc33ff7071975b48e12981,infoq,pilot,pre,2021-10-14,定位你的到底是App，还是手机厂商的操作系统？,https://www.infoq.cn/article/tX4oPEA5QwLGeK8wCg0W,738,0,0.0,False,0,diagnostic_pilot_not_clean_corpus
9e271d7b118c949e83c9ff8d,infoq,pilot,pre,2022-06-09,被称作CentOS未来的CentOS Stream是个啥？,https://www.infoq.cn/article/NGt234WtjgPOwITMlXWo,3169,0,0.0,False,0,diagnostic_pilot_not_clean_corpus
be3e4a9eccc5d3a7e69212c3,infoq,pilot,pre,2021-11-05,Angular 13 发布：全面弃用 View Engine,https://www.infoq.cn/article/v0V0CYr4i9lGR6c7US00,945,0,0.0,False,0,diagnostic_pilot_not_clean_corpus
d8917e9eedea037e2ed53511,infoq,pilot,pre,2021-10-19,苹果再放出两款“王炸”自研芯片，英特尔再难换回库克的心,https://www.infoq.cn/article/7SWwNUZLAPTM5TIAqwMI,2924,0,0.0,False,0,diagnostic_pilot_not_clean_corpus
bf1abf6ca461ec0bbac14bd7,infoq,pilot,pre,2022-01-20,工商银行实时大数据平台建设历程及展望,https://www.infoq.cn/article/Mcqw76pE8CZbkCby1Bz6,3572,0,0.0,False,0,diagnostic_pilot_not_clean_corpus
81938af852e380b36bede22b,infoq,pilot,pre,2022-01-26,中国电信宣布5G消息正式商用,https://www.infoq.cn/article/N00FLzs20hlJZU56qVx4,895,0,0.0,False,0,diagnostic_pilot_not_clean_corpus
7d5e92ccde58b3b78616293c,infoq,pilot,pre,2021-07-19,旷视十年，回答AI技术价值跃迁的“灵魂”三问,https://www.infoq.cn/article/d9N51XgSHzETcAC15Amb,2416,0,0.0,False,0,diagnostic_pilot_not_clean_corpus
2d8b8db77aefcdcbf86f23b4,infoq,pilot,pre,2022-01-10,数据库内核杂谈(二十二) 自动驾驶数据库 - Behavior Modeling,https://www.infoq.cn/article/mtyRVkfZ9dQNcqlslfJe,2044,0,0.0,False,0,diagnostic_pilot_not_clean_corpus
a05a8bb2f7fe7bfe85ba7e46,infoq,pilot,pre,2022-04-28,从理论到实战，带你全面解读智能物联网技术！,https://www.infoq.cn/article/4HpjOJPUjHsMZ3gv1CHT,2606,0,0.0,False,0,diagnostic_pilot_not_clean_corpus
