doc_id,source,published_at,title,url,candidate_label,label_evidence,cjk_chars,review_include,review_gold_label,reviewer,reviewed_at,review_notes
09c15d722428969f39d55a35,infoq,2023-10-09,腾讯云曹骏：选择适合自身战略的架构是应对核心系统挑战的关键,https://www.infoq.cn/article/TJg7MXJ5WM1ayMsW8xtc,original_pending_review,"[""original_candidate_signal"", ""local_interview_or_talk""]",5765,yes,original,huyao,2026-08-21T14:33:32.792016Z,First-party Chinese practice or case study; no specific translated foreign work identified. 讲国产系统而且是infoq的采访，必然不是翻译的
38edb35e93d5075f63c4a6cc,infoq,2024-10-16,零一万物发布最新旗舰模型，百万 token 仅 0.99 元！李开复：定价没有亏本,https://www.infoq.cn/article/NJHwIZmKPC2mXewiQKdN,original_pending_review,"[""original_candidate_signal""]",2345,yes,original,huyao,2026-08-21T14:34:07.299525Z,Chinese original reporting or interview; no specific translated foreign work identified.
acb8060469fc5f7ee7197d06,infoq,2025-03-23,如何用AI实现基础编码能力平权，与优秀工程师共生 | QCon北京,https://www.infoq.cn/article/jkHiRQXX95Y9tyVsj9dR,original_pending_review,"[""original_candidate_signal"", ""chinese_first_party_org_byline""]",858,yes,original,huyao,2026-08-21T14:34:41.545734Z,Chinese original reporting or interview; no specific translated foreign work identified.
9486d9512261aa67235da0f7,infoq,2024-10-10,AI革新软件：从底层到应用的全面升级！字节、阿里、腾讯齐聚QCon上海，60+分享不容错过,https://www.infoq.cn/article/jKGFRSDFJGC7R4g4dfdi,original_pending_review,"[""original_candidate_signal""]",2098,yes,original,huyao,2026-08-21T14:34:52.214117Z,Chinese original reporting or interview; no specific translated foreign work identified.
90a47cb7ae454b08a0d984cc,infoq,2025-03-03,DeepSeek公开成本利润率引两公司创始人公开互怼；Kimi 最新模型曝光，k1.6登顶？494人年入过百万、奖金分红8亿元，出海大公司“壕”无人性 | AI周报,https://www.infoq.cn/article/PGEF8j6a0wSLQMPBEIs7,original_pending_review,"[""original_candidate_signal""]",9006,yes,original,huyao,2026-08-21T14:35:01.009528Z,Chinese original reporting or interview; no specific translated foreign work identified.
efe81f9f6cfd9467fd76d549,infoq,2023-09-25,中国银联技术开发中心安全攻防团队总监蔡水捷确认出席 FCon ，分享从安全左移到安全内生——中国银联安全研发体系建设实践,https://www.infoq.cn/article/XTVfdNbKaRD2L7Oj7czg,original_pending_review,"[""original_candidate_signal""]",897,yes,original,huyao,2026-08-21T14:35:08.000424Z,Chinese original reporting or interview; no specific translated foreign work identified.
f8eaf8c775faf92b7cbd825f,infoq,2023-12-04,阿里巴巴爱橙科技 / 智能引擎事业部 /OpenSearch 研发负责人邢少敏确认出席 QCon 上海，分享阿里云搜索 Serverless 产品架构设计和应用实践,https://www.infoq.cn/article/AUKUr4sPOwBOi2IiFk0w,original_pending_review,"[""original_candidate_signal""]",508,yes,original,huyao,2026-08-21T14:35:13.329906Z,Chinese original reporting or interview; no specific translated foreign work identified.
4d9d4058b4aa448d724adceb,infoq,2025-02-10,欧版AI“星际之门”官宣：马可龙狂投 1090 亿欧元，Mistral也是要好起来了！,https://www.infoq.cn/article/dqNJ8wEP5DlGbdxK3KQK,original_pending_review,"[""original_candidate_signal""]",929,no,,huyao,2026-08-21T14:35:37.317467Z,Specific translated foreign source work identified.
69a72ba58cc95a7d25e148a1,infoq,2023-11-21,AI技术2023第三季度速览：开源大模型发展迅猛，应⽤场景得到进一步探索,https://www.infoq.cn/article/zT7BgPgJaJU2jGdZpQ2Q,original_pending_review,"[""original_candidate_signal""]",1211,yes,original,huyao,2026-08-21T14:35:51.040096Z,Chinese original reporting or interview; no specific translated foreign work identified.
081fc13106e1ecce38807387,infoq,2024-08-05,继裁掉Python团队后，谷歌Go团队也迎来动荡：团队灵魂人物、领导Go十二年的技术负责人突然宣布退位,https://www.infoq.cn/article/wxfU8AS9uJQ2TwIIBt7D,original_pending_review,"[""original_candidate_signal""]",3719,no,,huyao,2026-08-21T15:25:33.771206Z,Explicit translation or compilation marker identified.
d16d5e992d93522e48e6d9a9,infoq,2023-10-01,华为中秋节给员工发Mate60手机；商汤科技回应原知产总监被立案侦查；马斯克平均年终奖33亿元 | AI一周资讯,https://www.infoq.cn/article/etaokYfgLHFXpFa5DpSK,original_pending_review,"[""original_candidate_signal""]",3477,yes,original,huyao,2026-08-21T15:25:55.129176Z,First-party Chinese practice or case study; no specific translated foreign work identified.
44079570ddf13bf9bacba3cb,infoq,2023-04-03,“诱骗”ChatGPT生成Win95系统密钥，1/3概率可激活；微软Teams落地国内；京东拟分拆旗下两公司上市｜AI一周资讯,https://www.infoq.cn/article/XVRINNYgprSOwajdgNii,original_pending_review,"[""original_candidate_signal""]",2281,yes,original,huyao,2026-08-21T15:26:03.690906Z,First-party Chinese practice or case study; no specific translated foreign work identified.
ff33cd9163c1c6a848fa040f,infoq,2023-07-25,晟云磐盾郝峻晟：技术人如何走上创业之路，实现人生价值,https://www.infoq.cn/article/x5pfVaM4F0ghRfKr8ZQB,original_pending_review,"[""original_candidate_signal""]",6203,yes,original,huyao,2026-08-21T15:26:26.597568Z,Chinese original reporting or interview; no specific translated foreign work identified.
0603327bb491975831a4428b,infoq,2025-05-21,微软重磅开源Copilot！64 岁 VS Code 创始人亲口承认：眼红 Cursor，但真正价值在后端，它“抄”不过去！,https://www.infoq.cn/article/3GqjomSQFG2DPKUpSmpf,original_pending_review,"[""original_candidate_signal""]",5805,no,,huyao,2026-08-21T15:26:41.428923Z,Specific translated foreign source work identified.
